TOW,TOW_Frac,PRN,C_N0,Doppler,Carrier_Phase,Code_Phase,Tracking_State,Label
477912,0.37,3,50.77008819580078,761.6763305664062,-25504.33603313635,20984570.846886583,6.0,0
477912,0.37,6,48.65320587158203,-526.56396484375,17039.654731483082,21913772.05616656,6.0,0
477912,0.37,7,48.40093612670898,1852.9942626953125,-61165.87633432762,22683087.78592698,6.0,0
477912,0.37,10,42.8013801574707,629.5333251953125,-21099.81907134503,23931314.960007302,6.0,0
477912,0.37,11,35.209564208984375,1919.019287109375,-63142.06446063367,26034344.219838414,6.0,0
477912,0.37,13,51.96335220336914,1832.6507568359373,-60724.2571907948,20727359.54786445,6.0,0
477912,0.37,16,50.40527725219727,-2803.624267578125,92405.98897201568,22096440.54567257,6.0,0
477912,0.37,19,48.689239501953125,2612.388916015625,-86419.46166243474,22179917.86678764,6.0,0
477912,0.37,20,41.94528198242188,-2968.386962890625,97946.7688851055,23908972.323063497,6.0,0
477912,0.37,23,52.13272857666016,-439.3572387695313,14162.932254483923,20102365.65105576,6.0,0
477912,0.37,30,42.39334487915039,-3323.220947265625,109661.1622110327,24300181.420448437,6.0,0
477912,0.37,32,39.29223251342773,-3062.322509765625,101134.7853642254,25169731.988244064,6.0,0
477912,0.57,3,50.7627182006836,761.8043823242188,-25656.69211374829,20984541.853915814,6.0,0
477912,0.57,6,48.65653991699219,-526.8491821289062,17145.01007602876,21913792.09800254,6.0,0
477912,0.57,7,48.41389083862305,1853.058349609375,-61536.47703687078,22683017.25586028,6.0,0
477912,0.57,10,42.78628540039063,629.7777709960938,-21225.74578520283,23931290.96785651,6.0,0
477912,0.57,11,35.28644943237305,1918.2567138671875,-63525.90333028557,26034271.23103515,6.0,0
477912,0.57,13,51.966064453125,1832.697265625,-61090.79431479669,20727289.806851435,6.0,0
477912,0.57,16,50.412479400634766,-2803.74658203125,92966.72551486432,22096547.269562118,6.0,0
477912,0.57,19,48.70555877685547,2612.185302734375,-86941.9173353283,22179818.42166906,6.0,0
477912,0.57,20,41.98207473754883,-2968.107666015625,98540.42705464036,23909085.231085423,6.0,0
477912,0.57,23,52.12959671020508,-439.5202331542969,14250.817481846549,20102382.388026983,6.0,0
477912,0.57,30,42.36708831787109,-3323.418701171875,110325.79762538336,24300307.890561976,6.0,0
477912,0.57,32,39.29014587402344,-3062.037353515625,101747.18136703804,25169848.54606766,6.0,0
477912,0.77,3,50.75,761.5948486328125,-25809.01989375532,20984512.83946177,6.0,0
477912,0.77,6,48.66069793701172,-527.0296020507812,17250.387445045984,21913812.149242472,6.0,0
477912,0.77,7,48.40650177001953,1852.9652099609373,-61907.08216287196,22682946.701845616,6.0,0
477912,0.77,10,42.75424957275391,629.1666259765625,-21351.64037950372,23931266.973035105,6.0,0
477912,0.77,11,35.39529037475586,1919.752685546875,-63909.73752290069,26034198.32375705,6.0,0
477912,0.77,13,51.95723724365234,1832.668212890625,-61457.32248543738,20727220.08808981,6.0,0
477912,0.77,16,50.41535949707031,-2803.58935546875,93527.4654687593,22096653.98691758,6.0,0
477912,0.77,19,48.68121719360352,2612.2724609375,-87464.37632961804,22179718.97679718,6.0,0
477912,0.77,20,41.97014236450195,-2968.2646484375,99134.10136711888,23909198.108243678,6.0,0
477912,0.77,23,52.112892150878906,-439.7414245605469,14338.727909700248,20102399.125672188,6.0,0
477912,0.77,30,42.37876892089844,-3322.912353515625,110990.42616697332,24300434.35658592,6.0,0
477912,0.77,32,39.289833068847656,-3061.658935546875,102359.57236042258,25169965.114507407,6.0,0
477912,0.97,3,50.73826217651367,761.5599365234375,-25961.3203162296,20984483.84681014,6.0,0
477912,0.97,6,48.671119689941406,-527.00634765625,17355.792715888354,21913832.17613337,6.0,0
477912,0.97,7,48.396087646484375,1852.906982421875,-62277.6900829965,22682876.17268565,6.0,0
477912,0.97,10,42.76517868041992,629.5216674804688,-21477.50646569731,23931243.016986188,6.0,0
477912,0.97,11,35.459896087646484,1919.968017578125,-64293.597010982456,26034125.32042369,6.0,0
477912,0.97,13,51.96454620361328,1832.452880859375,-61823.836829176405,20727150.35065279,6.0,0
477912,0.97,16,50.41392517089844,-2803.89794921875,94088.22430086986,22096760.706950787,6.0,0
477912,0.97,19,48.68425369262695,2612.097900390625,-87986.81619942933,22179619.54405023,6.0,0
477912,0.97,20,41.96380615234375,-2968.765380859375,99727.7629053035,23909311.0120995,6.0,0
477912,0.97,23,52.10682678222656,-439.659912109375,14426.661672990303,20102415.856677476,6.0,0
477912,0.97,30,42.374629974365234,-3322.87744140625,111655.06299252844,24300560.81788552,6.0,0
477912,0.97,32,39.27471923828125,-3062.089599609375,102971.96510255396,25170081.66487152,6.0,0
477913,0.17,3,50.71889877319336,761.1641235351562,-26113.58966742409,20984454.83628379,6.0,0
477913,0.17,6,48.67177963256836,-527.2799072265625,17461.22168243106,21913852.230403904,6.0,0
477913,0.17,7,48.38043594360352,1852.6043701171875,-62648.288456563256,22682805.6144533,6.0,0
477913,0.17,10,42.78562545776367,629.218994140625,-21603.35447089793,23931219.01564929,6.0,0
477913,0.17,11,35.556373596191406,1919.0657958984373,-64677.47323939763,26034052.362702347,6.0,0
477913,0.17,13,51.96107864379883,1832.2781982421875,-62190.32346016832,20727080.62082683,6.0,0
477913,0.17,16,50.41904830932617,-2803.851318359375,94648.98288426118,22096867.43351531,6.0,0
477913,0.17,19,48.66557693481445,2611.9814453125,-88509.23435837845,22179520.13735383,6.0,0
477913,0.17,20,41.94145584106445,-2968.037841796875,100321.4334630199,23909423.9439812,6.0,0
477913,0.17,23,52.07477951049805,-439.9160461425781,14514.624031628831,20102432.596649274,6.0,0
477913,0.17,30,42.40086364746094,-3323.127685546875,112319.7074371666,24300687.25841452,6.0,0
477913,0.17,32,39.267913818359375,-3061.97900390625,103584.35040209768,25170198.244997934,6.0,0
477913,0.37,3,50.7044792175293,761.0942993164062,-26265.83436193003,20984425.85114104,6.0,0
477913,0.37,6,48.67725372314453,-527.3963623046875,17566.674459991627,21913872.288545582,6.0,0
477913,0.37,7,48.36418533325195,1852.95361328125,-63018.88667610218,22682735.075750776,6.0,0
477913,0.37,10,42.79733276367188,629.294677734375,-21729.18080016866,23931195.05583391,6.0,0
477913,0.37,11,35.6374397277832,1919.601318359375,-65061.349832416745,26033979.354379725,6.0,0
477913,0.37,13,51.94374465942383,1832.34228515625,-62556.79486535129,20727010.890255064,6.0,0
477913,0.37,16,50.41552734375,-2803.9853515625,95209.75132807776,22096974.16287684,6.0,0
477913,0.37,19,48.66053771972656,2611.830078125,-89031.63586964377,22179420.728364084,6.0,0
477913,0.37,20,41.901885986328125,-2968.031982421875,100915.09992453035,23909536.80377824,6.0,0
477913,0.37,23,52.067230224609375,-440.0149841308594,14602.609659136506,20102449.337628394,6.0,0
477913,0.37,30,42.35310363769531,-3322.993896484375,112984.3410907468,24300813.73794353,6.0,0
477913,0.37,32,39.24439239501953,-3062.57861328125,104196.73910460144,25170314.79073308,6.0,0
477913,0.57,3,50.6937370300293,761.0186157226562,-26418.056244871343,20984396.86825911,6.0,0
477913,0.57,6,48.671669006347656,-527.5185546875,17672.1570159829,21913892.36673114,6.0,0
477913,0.57,7,48.34174728393555,1853.0408935546875,-63389.48664149374,22682664.541487254,6.0,0
477913,0.57,10,42.836875915527344,629.0152587890625,-21854.987924369285,23931171.11343673,6.0,0
477913,0.57,11,35.711875915527344,1918.7108154296875,-65445.23481693561,26033906.42063292,6.0,0
477913,0.57,13,51.94136047363281,1832.3131103515625,-62923.2436409638,20726941.166720312,6.0,0
477913,0.57,16,50.42993927001953,-2803.863037109375,95770.53122304578,22097080.88529631,6.0,0
477913,0.57,19,48.65235137939453,2611.89404296875,-89554.02396706422,22179321.324847583,6.0,0
477913,0.57,20,41.86582565307617,-2969.143798828125,101508.77892717835,23909649.731732897,6.0,0
477913,0.57,23,52.0505485534668,-440.05572509765625,14690.617117883638,20102466.085251138,6.0,0
477913,0.57,30,42.32316970825195,-3323.31396484375,113648.97916305393,24300940.217707016,6.0,0
477913,0.57,32,39.23771286010742,-3062.060546875,104809.09866142878,25170431.337783087,6.0,0
477913,0.77,3,50.69025039672852,760.9254760742188,-26570.24205656047,20984367.892884657,6.0,0
477913,0.77,6,48.66060256958008,-527.6582641601562,17777.66476247413,21913912.43543763,6.0,0
477913,0.77,7,48.33502197265625,1853.314453125,-63760.08123282646,22682593.99938263,6.0,0
477913,0.77,10,42.8875732421875,629.067626953125,-21980.767066578614,23931147.14634421,6.0,0
477913,0.77,11,35.80558395385742,1919.455810546875,-65829.13578539237,26033833.43795512,6.0,0
477913,0.77,13,51.9282341003418,1832.004638671875,-63289.67813696491,20726871.43970537,6.0,0
477913,0.77,16,50.45228958129883,-2804.002685546875,96331.32530902373,22097187.628400225,6.0,0
477913,0.77,19,48.64372634887695,2611.90576171875,-90076.398239529,22179221.91655029,6.0,0
477913,0.77,20,41.92747497558594,-2967.77001953125,102102.43262997188,23909762.64133077,6.0,0
477913,0.77,23,52.02538299560547,-440.3060302734375,14778.651642614044,20102482.82899587,6.0,0
477913,0.77,30,42.30625915527344,-3323.30810546875,114313.61470625014,24301066.711938955,6.0,0
477913,0.77,32,39.28518295288086,-3061.676513671875,105421.47233909531,25170547.965743437,6.0,0
477913,0.97,3,50.69026184082031,760.7915649414062,-26722.412425767747,20984338.91851903,6.0,0
477913,0.97,6,48.64835739135742,-527.669921875,17883.19468731305,21913932.520834755,6.0,0
477913,0.97,7,48.32708740234375,1853.0350341796875,-64130.67281566944,22682523.438007988,6.0,0
477913,0.97,10,42.90389251708984,628.5205078125,-22106.51748581929,23931123.20853357,6.0,0
477913,0.97,11,35.938270568847656,1920.1368408203125,-66213.08487006114,26033760.470349364,6.0,0
477913,0.97,13,51.91770935058594,1831.9173583984373,-63656.09449915053,20726801.716865662,6.0,0
477913,0.97,16,50.45723724365234,-2803.944580078125,96892.12510053942,22097294.370720528,6.0,0
477913,0.97,19,48.6430549621582,2611.649658203125,-90598.75393987833,22179122.505890302,6.0,0
477913,0.97,20,41.92869186401367,-2968.608154296875,102696.09973207791,23909875.569731027,6.0,0
477913,0.97,23,52.01266479492188,-440.3817138671875,14866.710973955342,20102499.588700578,6.0,0
477913,0.97,30,42.317752838134766,-3323.18017578125,114978.25178231008,24301193.22737464,6.0,0
477913,0.97,32,39.308692932128906,-3061.97314453125,106033.836233599,25170664.538127508,6.0,0
477914,0.17,3,50.687110900878906,760.7275390625,-26874.54570508143,20984309.948128205,6.0,0
477914,0.17,6,48.65285873413086,-528.1355590820312,17988.754822671763,21913952.60573848,6.0,0
477914,0.17,7,48.3098258972168,1853.1514892578125,-64501.26443816349,22682452.912709143,6.0,0
477914,0.17,10,42.953704833984375,628.479736328125,-22232.252292864607,23931099.29198664,6.0,0
477914,0.17,11,36.0006103515625,1919.537353515625,-66597.01105283154,26033687.489149053,6.0,0
477914,0.17,13,51.90945053100586,1831.9813232421875,-64022.49273746472,20726731.997391555,6.0,0
477914,0.17,16,50.461761474609375,-2804.05517578125,97452.93614560772,22097401.09423609,6.0,0
477914,0.17,19,48.64117431640625,2611.597412109375,-91121.09750689288,22179023.084606763,6.0,0
